Name,Country,Gender,Division,Swim,Bike,Run,Overall
"Taylor, Scott",CAN,Male,M45-49,57.18333333333333,329.3333333333333,286.3333333333333,683.2333333333333
"Gaytan, Francisco",MEX,Male,M45-49,96.76666666666667,319.23333333333335,250.31666666666666,683.3333333333334
"Salvado, Nestor",USA,Male,M45-49,80.48333333333333,353.53333333333336,232.41666666666666,683.4333333333333
"Zollinger, Chase",USA,Male,M30-34,88.56666666666666,333.75,228.48333333333332,683.6833333333333
"Bryan, Julia",USA,Female,F35-39,71.28333333333333,324.28333333333336,278.3333333333333,683.7833333333333
"Lynch, Julian",IRL,Male,M40-44,92.26666666666667,323.46666666666664,257.3,683.9166666666666
"Fahey, Jaclyn",USA,Female,F35-39,63.15,347.6333333333333,262.4166666666667,685.0666666666667
"Gebauer, Laura",DEU,Female,F25-29,72.23333333333333,327.8833333333333,274.96666666666664,685.2166666666667
"Tschudy, Eugene",USA,Male,M50-54,74.56666666666666,308.48333333333335,290.78333333333336,685.5166666666667
"Buckner, Lisa",USA,Female,F40-44,67.21666666666667,342.28333333333336,263.51666666666665,685.8333333333334
"Scheepers, Pieter",USA,Male,M40-44,76.03333333333333,324.81666666666666,262.85,685.8833333333333
"Montgomery, Matt",USA,Male,M30-34,70.93333333333334,342.23333333333335,257.46666666666664,685.9166666666666
"Fasoli, Luca",ITA,Male,M45-49,72.88333333333334,341.55,260.85,685.95
"Stamm, Tim",USA,Male,M35-39,77.88333333333334,341.15,253.73333333333332,686.2833333333333
"Cohen, Adam",USA,Male,M45-49,72.33333333333333,345.51666666666665,257.21666666666664,686.3
"Salamone, Sergio",ARG,Male,M45-49,74.55,319.8666666666667,277.75,686.3
"Hicks, Joseph",USA,Male,M45-49,76.05,318.5,281.8666666666667,686.55
