Player,Season,TPM,TPA,TPP
Shawn Bradley,1998,1,3,0.3333333333333333
Shawn Kemp,1998,2,8,0.25
Shawn Respert,1998,31,93,0.3333333333333333
Shawnelle Scott,1998,0,0,NA
Shea Seals,1998,0,3,0
Sherman Douglas,1998,14,46,0.30434782608695654
Spud Webb,1998,0,1,0
Stacey Augmon,1998,1,7,0.14285714285714285
Stanley Roberts,1998,0,0,NA
Stephen Howard,1998,0,0,NA
Stephon Marbury,1998,95,304,0.3125
Steve Henson,1998,3,8,0.375
Steve Kerr,1998,57,130,0.43846153846153846
Steve Nash,1998,81,195,0.4153846153846154
Steve Smith,1998,97,276,0.35144927536231885
Stojko Vrankovic,1998,0,0,NA
Tariq Abdul-Wahad,1998,4,19,0.21052631578947367
Terrell Brandon,1998,31,93,0.3333333333333333
Terry Cummings,1998,0,1,0
Terry Davis,1998,0,1,0
Terry Dehere,1998,50,132,0.3787878787878788
Terry Mills,1998,25,81,0.30864197530864196
Terry Porter,1998,92,233,0.3948497854077253
Theo Ratliff,1998,0,0,NA
Tim Breaux,1998,1,3,0.3333333333333333
Tim Duncan,1998,0,10,0
Tim Hardaway,1998,155,442,0.3506787330316742
Tim Kempton,1998,0,0,NA
Tim Legler,1998,0,6,0
Tim Thomas,1998,62,171,0.36257309941520466
Todd Day,1998,2,12,0.16666666666666666
Todd Fuller,1998,0,4,0
Tom Chambers,1998,0,0,NA
Tom Gugliotta,1998,2,17,0.11764705882352941
Tom Hammonds,1998,0,1,0
Toni Kukoc,1998,63,174,0.3620689655172414
Tony Battie,1998,3,14,0.21428571428571427
Tony Delk,1998,42,157,0.267515923566879
Tony Dumas,1998,2,4,0.5
Tony Farmer,1998,2,9,0.2222222222222222
Tony Massenburg,1998,0,0,NA
Tony Smith,1998,0,4,0
Tracy McGrady,1998,14,41,0.34146341463414637
Tracy Murray,1998,158,403,0.3920595533498759
Travis Best,1998,21,70,0.3
Travis Knight,1998,15,55,0.2727272727272727
Travis Williams,1998,0,1,0
Troy Hudson,1998,0,3,0
Tyrone Corbin,1998,49,141,0.3475177304964539
Tyrone Hill,1998,0,1,0
Tyus Edney,1998,3,10,0.3
Vernon Maxwell,1998,37,112,0.33035714285714285
Vin Baker,1998,1,7,0.14285714285714285
Vincent Askew,1998,0,2,0
